Ångström bar experiment:
Date: 25-9-2024
Start time: 10:15:00
Time   ,Heater status  ,Temp P   ,Temp Q   
263,1,24.2,27.4
264,1,24.3,27.5
265,1,24.3,27.5
266,1,24.3,27.5
267,1,24.2,27.6
268,1,24.3,27.6
269,1,24.3,27.7
270,1,24.3,27.6
271,1,24.4,27.7
272,1,24.3,27.8
273,1,24.3,27.8
274,1,24.3,27.7
275,1,24.4,27.7
276,1,24.3,27.8
277,1,24.5,27.8
278,1,24.5,28.0
279,1,24.5,28.0
280,1,24.6,27.8
281,1,24.6,27.9
282,1,24.5,28.1
283,1,24.6,28.0
284,1,24.5,28.1
285,1,24.5,28.0
286,1,24.6,28.3
287,1,24.5,28.3
288,1,24.6,28.1
289,1,24.6,28.2
290,1,24.6,28.3
291,1,24.6,28.3
292,1,24.7,28.1
293,1,24.7,28.1
294,1,24.6,28.3
295,1,24.7,28.4
296,1,24.7,28.3
297,1,24.8,28.4
298,1,24.8,28.5
299,1,24.8,28.4
300,1,24.8,28.3
301,1,24.8,28.5
302,1,24.8,28.6
303,1,24.9,28.5
304,1,24.9,28.5
305,1,24.8,28.6
306,1,25.0,28.5
307,1,24.9,28.6
308,1,25.0,28.6
309,1,25.0,28.6
310,1,24.9,28.7
311,1,24.9,28.6
312,1,25.0,28.8
313,1,25.0,28.7
314,1,25.0,28.8
315,1,25.1,28.7
316,1,25.1,28.8
317,1,25.2,28.8
318,1,25.1,29.0
319,1,25.1,28.8
320,1,25.1,28.9
321,1,25.2,28.9
322,1,25.0,29.0
323,1,25.1,29.0
324,1,25.1,28.9
325,1,25.1,29.1
326,1,25.1,29.1
327,1,25.3,29.1
328,1,25.3,29.0
329,1,25.3,29.1
330,1,25.3,29.1
331,1,25.3,29.3
332,1,25.3,29.3
333,1,25.3,29.1
334,1,25.3,29.1
335,1,25.3,29.3
336,1,25.4,29.2
337,1,25.3,29.2
338,1,25.4,29.3
339,1,25.3,29.3
340,1,25.5,29.3
341,1,25.5,29.5
342,1,25.5,29.5
343,1,25.5,29.6
344,1,25.5,29.5
345,1,25.5,29.6
346,1,25.6,29.5
347,1,25.5,29.6
348,1,25.5,29.5
349,1,25.5,29.6
350,1,25.6,29.5
351,1,25.6,29.6
352,1,25.5,29.6
353,1,25.6,29.6
354,1,25.6,29.7
355,1,25.6,29.8
356,1,25.6,29.8
357,1,25.6,29.8
358,1,25.6,29.8
359,1,25.7,30.0
360,1,25.8,29.8
361,1,25.8,29.8
362,1,25.8,29.9
363,1,25.8,30.0
364,1,25.8,30.0
365,1,25.7,29.9
366,1,25.9,30.0
367,1,25.9,29.9
368,1,25.9,30.0
369,1,25.9,30.1
370,1,26.0,30.0
371,1,25.8,30.1
372,1,25.9,30.1
373,1,26.0,30.0
374,1,26.0,30.1
375,1,26.0,30.1
376,1,26.0,30.2
377,1,26.1,30.2
378,1,26.0,30.1
379,1,26.0,30.2
380,1,26.1,30.3
381,1,26.0,30.4
382,1,26.0,30.3
383,1,26.1,30.3
384,1,26.0,30.3
385,1,26.1,30.3
386,1,26.3,30.3
387,1,26.1,30.3
388,1,26.1,30.5
389,1,26.3,30.3
390,1,26.2,30.3
391,1,26.2,30.5
392,1,26.2,30.5
393,1,26.1,30.4
394,1,26.3,30.6
395,1,26.3,30.5
396,1,26.3,30.5
397,1,26.3,30.5
398,1,26.3,30.6
399,1,26.3,30.6
400,1,26.4,30.5
401,1,26.3,30.6
402,1,26.4,30.6
403,1,26.3,30.6
404,1,26.3,30.8
405,1,26.4,30.6
406,1,26.5,30.8
407,1,26.5,30.8
408,1,26.4,30.8
409,1,26.6,30.7
410,1,26.5,30.7
411,1,26.5,30.8
412,1,26.5,30.8
413,1,26.6,30.8
414,1,26.5,30.9
415,1,26.6,31.0
416,1,26.6,30.8
417,1,26.5,30.8
418,1,26.6,30.9
419,1,26.6,31.1
420,1,26.6,31.0
421,1,26.6,30.9
422,1,26.6,30.9
423,1,26.7,31.0
424,1,26.6,31.0
425,1,26.7,31.0
426,1,26.6,31.1
427,1,26.6,31.1
428,1,26.7,31.2
429,1,26.7,31.1
430,1,26.8,31.0
431,1,26.8,31.1
432,1,26.8,31.3
433,1,26.8,31.2
434,1,26.8,31.1
435,1,26.8,31.3
436,1,26.8,31.3
437,1,26.8,31.3
438,1,26.9,31.3
439,1,26.8,31.4
440,1,27.0,31.5
441,1,26.9,31.3
442,1,27.0,31.3
443,1,27.0,31.5
444,1,27.0,31.5
445,1,27.0,31.4
446,1,27.1,31.3
447,1,27.0,31.6
448,1,27.0,31.5
449,1,27.0,31.5
450,1,27.0,31.5
451,1,27.1,31.5
452,1,27.1,31.5
453,1,27.1,31.5
454,1,27.1,31.5
455,1,27.1,31.6
456,1,27.1,31.6
457,1,27.2,31.6
458,1,27.1,31.8
459,1,27.1,31.6
460,1,27.1,31.8
461,1,27.2,31.8
462,1,27.3,31.8
463,1,27.2,31.8
464,1,27.3,31.6
465,1,27.3,31.8
466,1,27.3,31.9
467,1,27.2,31.8
468,1,27.3,31.8
469,1,27.4,31.7
470,1,27.3,31.9
471,1,27.3,31.8
472,1,27.4,31.8
473,1,27.3,31.8
474,1,27.3,32.0
475,1,27.4,32.0
476,1,27.5,31.8
477,1,27.3,31.8
478,1,27.4,31.8
479,1,27.5,32.0
480,1,27.5,32.0
481,1,27.5,32.0
482,1,27.5,32.0
483,1,27.5,32.0
484,1,27.5,32.0
485,1,27.5,32.1
486,1,27.5,32.1
487,1,27.5,32.1
488,1,27.6,32.0
489,1,27.5,32.1
490,1,27.5,32.0
491,1,27.6,32.2
492,1,27.5,32.1
493,1,27.6,32.1
494,1,27.6,32.2
495,1,27.7,32.1
496,1,27.6,32.1
497,1,27.6,32.3
498,1,27.7,32.3
499,1,27.7,32.2
500,1,27.6,32.3
501,0,27.6,32.2
502,0,27.8,32.4
503,0,27.7,32.4
504,0,27.8,32.3
505,0,27.8,32.2
506,0,27.7,32.5
507,0,27.8,32.4
508,0,27.8,32.5
509,0,27.9,32.5
510,0,27.8,32.5
511,0,27.8,32.5
512,0,28.0,32.6
513,0,27.9,32.4
514,0,27.8,32.5
515,0,27.8,32.6
516,0,28.0,32.6
517,0,27.9,32.5
518,0,28.0,32.5
519,0,27.9,32.5
520,0,28.0,32.6
521,0,28.0,32.7
522,0,28.1,32.6
523,0,28.0,32.6
524,0,28.0,32.7
525,0,28.1,32.6
526,0,28.1,32.8
527,0,28.0,32.6
528,0,28.1,32.6
529,0,28.0,32.7
530,0,28.1,32.8
531,0,28.1,32.8
532,0,28.1,32.7
533,0,28.1,32.7
534,0,28.1,32.8
535,0,28.1,32.8
536,0,28.1,32.8
537,0,28.1,32.8
538,0,28.1,32.8
539,0,28.1,32.9
540,0,28.2,32.8
541,0,28.2,32.8
542,0,28.2,32.9
543,0,28.2,32.9
544,0,28.3,33.0
545,0,28.3,32.9
546,0,28.3,32.9
547,0,28.2,33.0
548,0,28.3,33.0
549,0,28.4,33.0
550,0,28.3,32.8
551,0,28.3,32.9
552,0,28.3,33.0
553,0,28.3,33.0
554,0,28.5,32.9
555,0,28.3,32.9
556,0,28.4,32.9
557,0,28.4,33.0
558,0,28.5,33.0
559,0,28.5,32.8
560,0,28.4,32.9
561,0,28.4,33.0
562,0,28.5,33.0
563,0,28.5,33.0
564,0,28.4,33.1
565,0,28.5,32.9
566,0,28.5,33.0
567,0,28.5,32.9
568,0,28.5,33.0
569,0,28.5,33.1
570,0,28.5,33.1
571,0,28.6,33.0
572,0,28.5,33.0
573,0,28.5,33.1
574,0,28.6,32.9
575,0,28.5,33.0
576,0,28.6,33.0
577,0,28.5,33.0
578,0,28.6,33.0
579,0,28.7,32.9
580,0,28.7,32.9
581,0,28.6,33.0
582,0,28.6,33.0
583,0,28.6,32.9
584,0,28.6,33.0
585,0,28.6,32.8
586,0,28.7,32.8
587,0,28.6,32.9
588,0,28.7,32.8
589,0,28.6,33.0
590,0,28.6,33.0
591,0,28.6,32.8
592,0,28.7,32.8
593,0,28.8,32.9
594,0,28.6,32.9
595,0,28.8,32.9
596,0,28.7,33.0
597,0,28.7,32.9
598,0,28.8,32.8
599,0,28.8,32.8
600,0,28.8,32.7
601,0,28.8,32.8
602,0,28.9,32.8
603,0,28.8,32.8
604,0,28.8,32.8
605,0,28.8,32.6
606,0,28.8,32.8
607,0,28.8,32.7
608,0,28.8,32.7
609,0,28.8,32.6
610,0,29.0,32.6
611,0,28.8,32.6
612,0,28.7,32.5
613,0,28.8,32.8
614,0,28.8,32.6
615,0,29.0,32.5
616,0,28.8,32.5
617,0,29.0,32.5
618,0,28.8,32.6
619,0,28.9,32.5
620,0,28.8,32.6
621,0,28.9,32.4
622,0,28.9,32.5
623,0,28.8,32.5
624,0,28.9,32.5
625,0,28.9,32.3
626,0,29.0,32.5
627,0,28.9,32.4
628,0,29.0,32.3
629,0,29.0,32.3
630,0,28.9,32.3
631,0,29.0,32.3
632,0,28.9,32.3
633,0,28.9,32.3
634,0,28.9,32.2
635,0,28.9,32.3
636,0,29.0,32.3
637,0,28.9,32.3
638,0,28.9,32.1
639,0,28.9,32.1
640,0,29.0,32.2
641,0,28.9,32.1
642,0,29.0,32.0
643,0,28.9,32.0
644,0,28.8,32.1
645,0,29.0,32.1
646,0,29.0,32.1
647,0,28.8,32.0
648,0,29.0,32.0
649,0,29.0,32.0
650,0,29.0,31.8
651,0,29.0,32.0
652,0,28.8,31.9
653,0,28.9,31.9
654,0,28.9,31.8
655,0,28.9,31.8
656,0,28.8,31.9
657,0,28.9,31.8
658,0,28.8,31.7
659,0,29.0,31.8
660,0,29.0,31.7
661,0,28.9,31.7
662,0,28.8,31.7
663,0,29.0,31.8
664,0,29.0,31.8
665,0,28.8,31.6
666,0,29.0,31.7
667,0,28.9,31.6
668,0,28.9,31.6
669,0,28.9,31.6
670,0,28.8,31.6
671,0,28.8,31.5
672,0,28.8,31.5
673,0,28.8,31.5
674,0,29.0,31.6
675,0,28.9,31.6
676,0,28.8,31.4
677,0,28.8,31.5
678,0,28.8,31.5
679,0,28.9,31.3
680,0,28.8,31.3
681,0,28.8,31.5
682,0,28.9,31.3
683,0,28.9,31.3
684,0,28.8,31.2
685,0,28.8,31.3
686,0,28.8,31.3
687,0,28.8,31.1
688,0,28.8,31.1
689,0,28.8,31.2
690,0,28.8,31.2
691,0,28.8,31.1
692,0,28.8,31.1
693,0,28.8,31.0
694,0,28.8,31.1
695,0,28.8,31.1
696,0,28.8,30.9
697,0,28.8,30.9
698,0,28.8,30.9
699,0,28.8,30.8
700,0,28.7,31.0
701,0,28.8,31.0
702,0,28.8,31.0
703,0,28.6,30.8
704,0,28.8,30.8
705,0,28.7,30.8
706,0,28.8,30.8
707,0,28.8,30.8
708,0,28.8,30.8
709,0,28.6,30.8
710,0,28.8,30.7
711,0,28.7,30.7
712,0,28.7,30.6
713,0,28.7,30.6
714,0,28.7,30.7
715,0,28.6,30.6
716,0,28.7,30.7
717,0,28.7,30.6
718,0,28.6,30.5
719,0,28.6,30.5
720,0,28.6,30.5
721,0,28.6,30.5
722,0,28.6,30.5
723,0,28.6,30.6
724,0,28.7,30.4
725,0,28.6,30.3
726,0,28.6,30.4
727,0,28.6,30.5
728,0,28.6,30.3
729,0,28.6,30.5
730,0,28.6,30.5
731,0,28.6,30.3
732,0,28.4,30.3
733,0,28.5,30.3
734,0,28.6,30.2
735,0,28.5,30.1
736,0,28.5,30.3
737,0,28.6,30.2
738,0,28.5,30.1
739,0,28.5,30.2
740,0,28.5,30.0
741,0,28.6,30.0
742,0,28.5,30.1
743,0,28.5,30.1
744,0,28.5,30.1
745,0,28.5,30.1
746,0,28.6,30.0
747,0,28.5,30.0
748,0,28.5,30.0
749,0,28.4,29.9
750,0,28.5,30.1
751,0,28.5,30.0
752,0,28.5,29.8
753,0,28.4,29.9
754,0,28.5,29.9
755,0,28.4,29.8
756,0,28.3,29.8
757,0,28.4,29.9
758,0,28.4,29.8
759,0,28.3,29.6
760,0,28.3,29.8
761,0,28.5,29.7
762,0,28.3,29.7
763,0,28.3,29.7
764,0,28.3,29.6
765,0,28.3,29.6
766,0,28.3,29.7
767,0,28.3,29.6
768,0,28.3,29.5
769,0,28.3,29.6
770,0,28.3,29.5
771,0,28.3,29.5
772,0,28.3,29.6
773,0,28.2,29.6
774,0,28.2,29.5
775,0,28.2,29.5
776,0,28.2,29.5
777,0,28.2,29.4
778,0,28.3,29.3
779,0,28.1,29.3
780,0,28.2,29.4
781,0,28.2,29.3
782,0,28.1,29.3
783,0,28.2,29.2
784,0,28.1,29.2
785,0,28.0,29.3
786,0,28.1,29.4
787,0,28.1,29.3
788,0,28.1,29.1
789,0,28.0,29.2
790,0,28.1,29.2
791,0,28.1,29.1
792,0,28.0,29.3
793,0,28.1,29.1
794,0,28.1,29.1
795,0,28.1,29.1
796,0,28.1,29.0
797,0,28.0,29.0
798,0,28.0,29.0
799,0,28.0,29.1
800,0,28.0,29.0
801,1,28.0,28.9
802,1,28.0,28.9
803,1,28.0,28.9
804,1,28.0,28.9
805,1,28.0,28.9
806,1,28.0,29.0
807,1,28.0,28.8
808,1,28.0,28.7
809,1,27.9,28.8
810,1,27.9,28.7
811,1,28.0,28.6
812,1,27.9,28.8
813,1,27.8,28.7
814,1,27.9,28.7
815,1,27.8,28.6
816,1,27.8,28.6
817,1,28.0,28.6
818,1,27.9,28.8
819,1,27.8,28.8
820,1,27.8,28.6
821,1,27.8,28.5
822,1,27.9,28.6
823,1,27.8,28.5
824,1,27.8,28.6
825,1,27.8,28.6
826,1,27.8,28.5
827,1,27.8,28.6
828,1,27.8,28.4
829,1,27.8,28.5
830,1,27.8,28.5
831,1,27.7,28.5
832,1,27.8,28.3
833,1,27.7,28.4
834,1,27.6,28.3
835,1,27.8,28.3
836,1,27.8,28.3
837,1,27.6,28.3
838,1,27.6,28.4
839,1,27.6,28.3
840,1,27.6,28.2
841,1,27.6,28.3
842,1,27.6,28.3
843,1,27.6,28.3
844,1,27.6,28.3
845,1,27.6,28.1
846,1,27.6,28.1
847,1,27.5,28.3
848,1,27.6,28.0
849,1,27.6,28.2
850,1,27.5,28.2
851,1,27.6,28.1
852,1,27.6,28.2
853,1,27.6,28.1
854,1,27.6,28.0
855,1,27.5,28.1
856,1,27.5,28.0
857,1,27.5,28.1
858,1,27.5,28.2
859,1,27.5,28.1
860,1,27.4,28.0
861,1,27.5,28.3
862,1,27.4,28.0
863,1,27.4,28.1
864,1,27.5,28.1
865,1,27.5,28.1
866,1,27.3,28.1
867,1,27.3,28.2
868,1,27.4,28.0
869,1,27.4,28.1
870,1,27.3,28.0
871,1,27.4,28.0
872,1,27.4,28.0
873,1,27.4,28.1
874,1,27.3,28.0
875,1,27.3,28.0
876,1,27.5,28.0
877,1,27.3,28.1
878,1,27.3,28.1
879,1,27.3,28.1
880,1,27.3,28.0
881,1,27.3,28.0
882,1,27.3,28.0
883,1,27.4,28.0
884,1,27.3,28.0
885,1,27.3,28.1
886,1,27.3,28.0
887,1,27.2,28.0
888,1,27.3,28.1
889,1,27.3,28.1
890,1,27.2,28.1
891,1,27.3,28.1
892,1,27.4,28.0
893,1,27.3,28.1
894,1,27.3,28.0
895,1,27.3,28.0
896,1,27.1,28.1
897,1,27.1,28.1
898,1,27.2,28.1
899,1,27.1,28.1
900,1,27.1,28.1
901,1,27.2,28.3
902,1,27.3,28.2
903,1,27.2,28.1
904,1,27.1,28.1
905,1,27.1,28.3
906,1,27.2,28.1
907,1,27.1,28.3
908,1,27.2,28.2
909,1,27.1,28.3
910,1,27.1,28.2
911,1,27.2,28.3
912,1,27.1,28.3
913,1,27.1,28.3
914,1,27.2,28.3
915,1,27.1,28.4
916,1,27.1,28.5
917,1,27.2,28.3
918,1,27.1,28.3
919,1,27.1,28.4
920,1,27.1,28.4
921,1,27.2,28.4
922,1,27.1,28.4
923,1,27.1,28.3
924,1,27.2,28.5
925,1,27.1,28.3
926,1,27.0,28.5
927,1,27.1,28.6
928,1,27.1,28.6
929,1,27.1,28.5
930,1,27.1,28.6
931,1,27.1,28.5
932,1,27.0,28.6
933,1,27.0,28.6
934,1,27.1,28.6
935,1,27.0,28.6
936,1,27.0,28.6
937,1,27.1,28.8
938,1,27.1,28.6
939,1,27.1,28.6
940,1,27.1,28.9
941,1,27.1,28.6
942,1,27.1,28.8
943,1,27.0,29.0
944,1,27.0,28.8
945,1,27.1,28.9
946,1,27.0,28.8
947,1,27.0,28.8
948,1,27.1,29.0
949,1,27.1,28.8
950,1,27.1,28.8
951,1,27.1,28.9
952,1,27.1,29.0
953,1,27.1,28.9
954,1,27.1,29.0
955,1,27.1,29.0
956,1,27.1,28.9
957,1,27.2,29.1
958,1,27.1,29.0
959,1,27.1,29.0
960,1,27.1,29.0
961,1,27.1,29.1
962,1,27.1,29.1
963,1,27.1,29.2
964,1,27.1,29.2
965,1,27.1,29.3
966,1,27.2,29.1
967,1,27.2,29.1
968,1,27.1,29.1
969,1,27.1,29.2
970,1,27.2,29.3
971,1,27.1,29.2
972,1,27.2,29.3
973,1,27.1,29.4
974,1,27.2,29.4
975,1,27.1,29.4
976,1,27.3,29.4
977,1,27.2,29.3
978,1,27.1,29.5
979,1,27.1,29.4
980,1,27.1,29.4
981,1,27.2,29.5
982,1,27.2,29.6
983,1,27.1,29.5
984,1,27.3,29.6
985,1,27.1,29.5
986,1,27.2,29.5
987,1,27.3,29.6
988,1,27.3,29.6
989,1,27.3,29.5
990,1,27.3,29.5
991,1,27.3,29.7
992,1,27.2,29.6
993,1,27.3,29.6
994,1,27.3,29.6
995,1,27.3,29.7
996,1,27.3,29.8
997,1,27.3,30.0
998,1,27.3,30.0
999,1,27.3,29.9
1000,1,27.2,30.0
1001,1,27.3,30.0
1002,1,27.4,30.0
1003,1,27.3,29.8
1004,1,27.3,29.9
1005,1,27.3,30.0
1006,1,27.4,30.0
1007,1,27.3,30.0
1008,1,27.5,30.0
1009,1,27.4,30.0
1010,1,27.4,30.1
1011,1,27.4,30.1
1012,1,27.4,30.1
1013,1,27.4,30.1
1014,1,27.3,30.1
1015,1,27.4,30.2
1016,1,27.5,30.3
1017,1,27.5,30.2
1018,1,27.4,30.3
1019,1,27.4,30.1
1020,1,27.4,30.3
1021,1,27.5,30.3
1022,1,27.5,30.3
1023,1,27.4,30.3
1024,1,27.5,30.2
1025,1,27.4,30.4
1026,1,27.5,30.4
1027,1,27.5,30.5
1028,1,27.5,30.4
1029,1,27.5,30.4
1030,1,27.5,30.6
1031,1,27.5,30.5
1032,1,27.6,30.4
1033,1,27.6,30.6
1034,1,27.5,30.5
1035,1,27.6,30.5
1036,1,27.5,30.5
1037,1,27.6,30.6
1038,1,27.5,30.5
1039,1,27.6,30.5
1040,1,27.6,30.7
1041,1,27.6,30.7
