Ångström bar experiment:
Date: 17-10-2024
Start time: 13:57:41
Time   ,Heater status  ,Temp P   ,Temp Q   
263,0,21.3,21.1
264,0,21.3,21.3
265,0,21.3,21.1
266,0,21.3,21.1
267,0,21.3,21.2
268,0,21.3,21.1
269,0,21.3,21.1
270,0,21.3,21.1
271,0,21.3,21.2
272,0,21.3,21.1
273,0,21.3,21.2
274,0,21.3,21.3
275,0,21.3,21.2
276,0,21.3,21.2
277,0,21.3,21.1
278,0,21.3,21.2
279,0,21.3,21.3
280,0,21.3,21.2
281,0,21.3,21.1
282,0,21.2,21.2
283,0,21.3,21.1
284,0,21.3,21.1
285,0,21.3,21.1
286,0,21.3,21.1
287,0,21.3,21.1
288,0,21.2,21.3
289,0,21.3,21.3
290,0,21.3,21.1
291,0,21.3,21.2
292,0,21.3,21.2
293,0,21.3,21.0
294,0,21.3,21.1
295,0,21.3,21.2
296,0,21.2,21.1
297,0,21.3,21.2
298,0,21.3,21.0
299,0,21.3,21.2
300,0,21.4,21.1
301,0,21.2,21.2
302,0,21.3,21.3
303,0,21.3,21.2
304,0,21.3,21.2
305,0,21.3,21.2
306,0,21.3,21.2
307,0,21.3,21.1
308,0,21.3,21.2
309,0,21.3,21.3
310,0,21.3,21.3
311,0,21.3,21.3
312,0,21.3,21.2
313,0,21.3,21.1
314,0,21.3,21.1
315,0,21.3,21.1
316,0,21.3,21.2
317,0,21.3,21.3
318,0,21.3,21.2
319,0,21.3,21.1
320,0,21.3,21.1
321,0,21.3,21.1
322,0,21.3,21.2
323,0,21.3,21.1
324,0,21.2,21.1
325,0,21.2,21.1
326,0,21.3,21.2
327,0,21.3,21.3
328,0,21.3,21.4
329,0,21.2,21.1
330,0,21.3,21.1
331,0,21.4,21.2
332,0,21.3,21.1
333,0,21.3,21.1
334,0,21.3,21.3
335,0,21.3,21.2
336,0,21.3,21.2
337,0,21.3,21.2
338,0,21.3,21.3
339,0,21.3,21.0
340,0,21.3,21.1
341,0,21.3,21.1
342,0,21.3,21.1
343,0,21.3,21.1
344,0,21.3,21.1
345,0,21.3,21.1
346,0,21.3,21.1
347,0,21.3,21.1
348,0,21.3,21.1
349,0,21.3,21.1
350,0,21.3,21.1
351,0,21.3,21.3
352,0,21.3,21.2
353,0,21.3,21.2
354,0,21.3,21.2
355,0,21.3,21.2
356,0,21.3,21.1
357,0,21.3,21.2
358,0,21.3,21.3
359,0,21.3,21.3
360,0,21.3,21.1
361,0,21.3,21.1
362,0,21.3,21.2
363,0,21.3,21.2
364,0,21.3,21.1
365,0,21.3,21.1
366,0,21.3,21.1
367,0,21.3,21.1
368,0,21.3,21.1
369,0,21.3,21.2
370,0,21.3,21.3
371,0,21.3,21.2
372,0,21.3,21.2
373,0,21.3,21.1
374,0,21.3,21.1
375,0,21.3,21.2
376,0,21.3,21.2
377,0,21.3,21.1
378,0,21.3,21.1
379,0,21.3,21.2
380,0,21.3,21.2
381,0,21.3,21.0
382,0,21.3,21.3
383,0,21.3,21.1
384,0,21.3,21.1
385,0,21.3,21.2
386,0,21.3,21.1
387,0,21.3,21.1
388,0,21.3,21.1
389,0,21.3,21.1
390,0,21.3,21.1
391,0,21.3,21.3
392,0,21.3,21.2
393,0,21.4,21.3
394,0,21.3,21.1
395,0,21.3,21.1
396,0,21.3,21.2
397,0,21.3,21.1
398,0,21.3,21.2
399,0,21.3,21.1
400,0,21.3,21.2
401,0,21.2,21.2
402,0,21.3,21.1
403,0,21.3,21.2
404,0,21.3,21.1
405,0,21.3,21.1
406,0,21.2,21.1
407,0,21.2,21.2
408,0,21.2,21.1
409,0,21.3,21.1
410,0,21.3,21.3
411,0,21.2,21.3
412,0,21.3,21.3
413,0,21.3,21.2
414,0,21.3,21.1
415,0,21.3,21.3
416,0,21.3,21.3
417,0,21.3,21.2
418,0,21.3,21.3
419,0,21.3,21.2
420,0,21.3,21.3
421,0,21.3,21.2
422,0,21.2,21.1
423,0,21.3,21.2
424,0,21.3,21.2
425,0,21.3,21.3
426,0,21.3,21.2
427,0,21.3,21.2
428,0,21.3,21.3
429,0,21.3,21.1
430,0,21.3,21.2
431,0,21.3,21.2
432,0,21.3,21.2
433,0,21.3,21.1
434,0,21.3,21.3
435,0,21.2,21.1
436,0,21.3,21.3
437,0,21.2,21.3
438,0,21.3,21.3
439,0,21.3,21.3
440,0,21.3,21.3
441,0,21.3,21.1
442,0,21.3,21.1
443,0,21.3,21.1
444,0,21.2,21.1
445,0,21.4,21.1
446,0,21.3,21.1
447,0,21.3,21.1
448,0,21.3,21.1
449,0,21.3,21.1
450,0,21.3,21.1
451,0,21.3,21.2
452,0,21.2,21.2
453,0,21.4,21.2
454,0,21.3,21.2
455,0,21.3,21.2
456,0,21.3,21.2
457,0,21.3,21.2
458,0,21.3,21.1
459,0,21.3,21.1
460,0,21.3,21.2
461,0,21.3,21.1
462,0,21.2,21.2
463,0,21.3,21.1
464,0,21.3,21.2
465,0,21.2,21.3
466,0,21.3,21.2
467,0,21.3,21.1
468,0,21.3,21.2
469,0,21.3,21.1
470,0,21.3,21.2
471,0,21.1,21.3
472,0,21.3,21.1
473,0,21.3,21.3
474,0,21.3,21.0
475,0,21.3,21.1
476,0,21.3,21.1
477,0,21.3,21.2
478,0,21.3,21.1
479,0,21.3,21.3
480,0,21.2,21.1
481,0,21.3,21.2
482,0,21.3,21.1
483,0,21.2,21.1
484,0,21.2,21.1
485,0,21.3,21.3
486,0,21.3,21.1
487,0,21.3,21.1
488,0,21.3,21.1
489,0,21.3,21.2
490,0,21.2,21.1
491,0,21.3,21.1
492,0,21.3,21.1
493,0,21.3,21.2
494,0,21.3,21.2
495,0,21.3,21.1
496,0,21.2,21.1
497,0,21.3,21.3
498,0,21.3,21.1
499,0,21.3,21.2
500,0,21.2,21.1
501,0,21.2,21.1
502,0,21.3,21.2
503,0,21.2,21.1
504,0,21.3,21.1
505,0,21.3,21.0
506,0,21.3,21.2
507,0,21.3,21.2
508,0,21.3,21.1
509,0,21.3,21.1
510,0,21.3,21.1
511,0,21.3,21.3
512,0,21.3,21.1
513,0,21.3,21.3
514,0,21.2,21.1
515,0,21.2,21.3
516,0,21.2,21.3
517,0,21.2,21.2
518,0,21.3,21.2
519,0,21.3,21.1
520,0,21.3,21.1
521,0,21.2,21.1
522,0,21.2,21.1
523,0,21.3,21.2
524,0,21.3,21.1
525,0,21.3,21.1
526,0,21.2,21.3
527,0,21.3,21.1
528,0,21.3,21.1
529,0,21.4,21.2
530,0,21.3,21.3
531,0,21.3,21.2
532,0,21.3,21.1
533,0,21.3,21.1
534,0,21.3,21.1
535,0,21.3,21.3
536,0,21.3,21.1
537,0,21.3,21.1
538,0,21.3,21.1
539,0,21.3,21.1
540,0,21.3,21.1
541,0,21.3,21.1
542,0,21.2,21.2
543,0,21.3,21.3
544,0,21.3,21.1
545,0,21.2,21.1
547,0,21.3,21.1
547,0,21.4,21.1
548,0,21.3,21.1
550,0,21.3,21.1
550,0,21.3,21.1
551,0,21.3,21.2
552,0,21.3,21.1
553,0,21.3,21.1
554,0,21.2,21.1
556,0,21.2,21.2
557,0,21.2,21.1
558,0,21.2,21.3
558,0,21.3,21.3
559,0,21.3,21.2
561,0,21.3,21.2
561,0,21.3,21.2
562,0,21.3,21.3
564,0,21.3,21.1
564,0,21.3,21.1
565,0,21.4,21.1
